# x, y, omega
# 
796.411669 468.215315 -0.026057
793.002241 470.448295 -0.025728
789.554066 473.128198 -0.025186
785.249009 474.939197 -0.024295
780.736657 476.310723 -0.023153
776.606427 476.181978 -0.021818
772.494798 475.200796 -0.020342
768.649403 473.761433 -0.018513
765.718867 470.921218 -0.016938
762.558211 468.025117 -0.014871
760.617662 464.519867 -0.012952
759.544452 460.635785 -0.011867
758.150120 456.837826 -0.010288
757.530130 452.757544 -0.008929
757.567442 448.507017 -0.007824
757.853949 443.735008 -0.007073
757.903761 439.687642 -0.006640
758.026854 435.489357 -0.006071
758.518476 431.171531 -0.005648
759.368234 426.766490 -0.005380
760.412267 422.864629 -0.005274
761.756791 418.941734 -0.005291
763.434826 415.024464 -0.005435
764.857554 410.593408 -0.005661
766.215242 406.500830 -0.005965
768.757303 402.889754 -0.006533
772.057656 400.036559 -0.007287
775.606577 398.052485 -0.008140
779.904083 396.527739 -0.009196
783.874629 394.409569 -0.010457
787.995167 394.165347 -0.011689
792.129411 394.497842 -0.012865
796.836660 395.483753 -0.014179
801.170874 396.441843 -0.015634
805.144936 398.550481 -0.016927
808.562324 400.728494 -0.018017
812.020100 403.411962 -0.019162
815.385914 406.599004 -0.020647
818.339253 410.416991 -0.021854
821.293615 414.777233 -0.023076
823.709164 419.238566 -0.024309
825.265838 423.265805 -0.025220
826.695476 427.565559 -0.026111
827.959977 432.136811 -0.026976
828.543327 436.439958 -0.027811
828.870722 441.433861 -0.028593
828.928226 446.569583 -0.029313
828.689584 451.819168 -0.029965
827.501941 456.536438 -0.030538
826.137744 461.772852 -0.031012
824.451843 466.915430 -0.031381
822.020031 471.334001 -0.031640
819.302382 476.207467 -0.031773
816.308964 480.776982 -0.031775
812.819080 484.342639 -0.031647
808.944577 488.140537 -0.031382
804.851106 491.444252 -0.030977
800.669487 494.238750 -0.030437
796.008047 495.919139 -0.029767
791.520975 497.792030 -0.028970
787.190428 499.142781 -0.028059
782.894816 499.301326 -0.027053
778.597109 499.852646 -0.025960
774.590546 499.951624 -0.024790
769.765596 499.480569 -0.023145
765.287271 497.780090 -0.021442
761.111523 496.435481 -0.019700
756.782833 494.179605 -0.017513
753.413048 491.481082 -0.015380
751.023604 487.821987 -0.013746
747.897372 484.280809 -0.011420
745.665678 480.502843 -0.009279
743.991209 476.570695 -0.007349
742.934245 472.587449 -0.005640
742.348008 468.593126 -0.004158
742.008179 463.293600 -0.002705
741.732347 458.305970 -0.001988
741.556446 453.405802 -0.001339
741.439870 448.591548 -0.000753
741.348116 443.860864 -0.000226
741.252072 439.211175 0.000248
741.127215 434.640062 0.000676
740.952784 430.145505 0.001066
740.710952 425.726047 0.001424
740.386031 421.380897 0.001760
740.087003 417.336469 0.002221
739.618860 413.112303 0.002693
739.253774 409.037057 0.003101
738.598542 404.958208 0.003471
737.665043 400.735127 0.003884
736.512680 396.854976 0.004303
735.160891 392.943590 0.004753
733.309556 389.118055 0.005260
729.383546 387.628244 0.006256
727.454819 384.007351 0.006944
724.839277 380.533286 0.007699
721.786369 377.698858 0.008465
717.880661 375.208643 0.009379
713.759344 373.467877 0.010319
709.738951 371.255142 0.011425
705.763119 370.763882 0.012462
701.139311 370.748810 0.013623
696.947268 371.173151 0.014656
692.329217 372.113698 0.015797
688.018146 373.148726 0.017049
684.423545 374.910019 0.018057
680.609996 377.061256 0.019123
676.595125 379.655614 0.020253
672.422910 382.885779 0.021448
668.784401 385.930332 0.022709
664.941138 390.301538 0.024024
662.475577 393.542360 0.024925
660.023743 397.050968 0.025843
657.608369 400.840117 0.026777
655.254950 404.921326 0.027725
653.496755 408.877890 0.028682
651.639289 413.580983 0.029640
649.938767 418.557035 0.030594
648.428069 423.803806 0.031539
647.141532 429.315304 0.032471
646.634384 434.590160 0.033384
646.173839 440.609302 0.034263
646.045782 446.802554 0.035103
646.279341 453.141410 0.035896
647.283337 459.003439 0.036635
648.574417 465.570794 0.037307
650.298890 472.124569 0.037901
652.462882 478.616632 0.038409
655.429349 484.338987 0.038824
658.716737 490.612309 0.039136
662.425722 496.627215 0.039334
666.525735 502.334480 0.039413
671.296677 506.968302 0.039371
676.313938 511.999663 0.039200
681.597959 516.562523 0.038897
687.136311 520.640524 0.038461
693.124287 523.441583 0.037894
699.194047 526.565989 0.037196
705.285011 529.126732 0.036369
711.327848 531.139443 0.035421
717.258200 532.629304 0.034360
723.345335 532.826941 0.033197
729.183743 533.327726 0.031935
734.753104 533.382976 0.030587
740.015433 533.043231 0.029165
744.942024 532.360779 0.027683
749.599334 530.597307 0.026155
754.116989 529.364201 0.024588
758.262047 527.908892 0.022990
762.033764 526.279621 0.021375
767.004429 523.605148 0.018943
771.186317 520.767874 0.016532
774.659997 517.120857 0.014171
777.579981 512.766498 0.011879
780.982177 509.047564 0.008950
783.506154 505.535349 0.006194
785.659538 501.533167 0.003030
787.128853 497.359550 -0.000327
787.794145 493.333567 -0.003634
787.707640 489.314736 -0.006994
786.695166 484.630319 -0.009253
784.029502 481.313633 -0.011627
781.005375 477.918594 -0.012816
777.794336 475.373379 -0.013044
774.636485 472.373098 -0.012872
772.609602 467.957515 -0.012538
770.256842 464.416064 -0.011958
769.118888 460.241525 -0.011266
768.465313 456.065208 -0.010884
767.709959 451.925472 -0.010291
767.968142 447.822290 -0.009853
768.020028 443.536952 -0.009677
768.745959 439.450315 -0.009550
770.350139 435.686706 -0.009689
771.570278 431.740287 -0.010046
774.684409 428.849949 -0.010804
777.431627 425.899774 -0.012000
781.496795 425.044061 -0.013943
785.345869 426.534510 -0.015882
788.385181 429.141542 -0.017624
790.733966 432.670843 -0.019142
792.092568 436.618623 -0.020168
792.544310 440.645823 -0.021200
792.160181 444.636696 -0.021884
790.980517 448.615164 -0.022283
789.091096 452.450668 -0.022244
786.792292 455.967071 -0.021764
783.782206 458.848558 -0.020744
779.902932 460.193534 -0.018998
775.912767 459.215814 -0.016625
773.951738 455.693372 -0.014800
773.434203 451.569507 -0.013830
773.956285 447.488884 -0.013004
774.640624 443.293326 -0.012645
776.949893 439.429007 -0.012565
779.182023 435.808616 -0.012815
781.716203 432.254084 -0.013275
785.311915 430.475435 -0.014245
789.345525 429.772368 -0.016031
792.297258 432.488792 -0.017508
793.906727 436.452461 -0.018703
794.089563 440.635923 -0.019517
793.179080 444.799970 -0.019952
790.766896 448.303862 -0.019907
787.127680 450.060962 -0.019208
783.712949 447.854243 -0.017857
782.952700 443.874164 -0.016550
785.054876 440.338573 -0.016160
788.526943 438.262079 -0.016440
792.771525 438.210962 -0.017208
796.560116 439.853161 -0.018173
799.632698 442.515470 -0.019105
801.751730 446.027778 -0.019744
802.832008 450.286841 -0.020503
802.786734 454.564317 -0.020902
800.988697 458.261828 -0.021021
798.200480 461.366812 -0.020842
794.352256 463.202103 -0.020361
790.369463 464.618652 -0.019582
786.198331 463.333894 -0.018699
782.357678 461.292593 -0.017423
779.068600 458.672967 -0.016217
776.776225 454.364909 -0.014784
775.015701 450.391511 -0.013723
774.099571 446.101800 -0.012677
773.659289 441.383894 -0.012147
773.091118 437.347997 -0.011525
773.421036 433.009299 -0.011013
774.233352 428.634344 -0.010652
774.464454 424.242586 -0.010503
775.185455 420.043731 -0.010342
776.747369 415.739017 -0.010298
778.616467 412.078798 -0.010389
780.055406 407.555699 -0.010566
782.131575 403.947713 -0.010901
784.799333 400.661383 -0.011350
787.953146 398.024865 -0.011868
790.450775 394.713087 -0.012427
794.464157 393.020125 -0.013401
798.428117 392.325041 -0.014280
802.571819 391.533381 -0.015310
806.993522 392.577955 -0.016470
811.523743 394.150255 -0.017576
815.308166 395.642555 -0.018598
819.122313 398.350323 -0.019687
822.439776 400.992776 -0.020603
825.960558 404.136251 -0.021566
829.392123 407.927706 -0.022823
831.731893 411.231740 -0.023593
834.081846 414.858260 -0.024373
836.409879 418.831685 -0.025162
837.943769 422.653949 -0.025952
839.591422 427.379127 -0.026728
841.085544 432.407100 -0.027485
841.958402 437.111886 -0.028219
842.499242 442.827118 -0.028913
842.568251 448.807626 -0.029552
842.425646 452.868733 -0.029943
842.123403 456.977642 -0.030303
840.609271 462.563387 -0.030779
839.546183 466.757141 -0.031042
838.302206 470.908132 -0.031261
836.880279 475.001304 -0.031433
833.860324 480.265427 -0.031600
831.683899 484.199525 -0.031643
